Account Name,Parent Account,Account Number,Parent Account Number,IsGroup,Account Type,Root Type,Account Currency
Bank Loans,Loans,44211,44210,0,Expense Account,Expense,
Other Loans,Loans,44212,44210,0,Expense Account,Expense,
Credit Car Debt,Debt Payments,44220,44200,0,Expense Account,Expense,
Investments,Personal Finance,44300,44000,1,,Expense,
ÆTESIS,Investments,44310,44300,1,,Expense,
Æ Rent,ÆTESIS,44311,44310,0,Expense Account,Expense,
Æ IT,ÆTESIS,44312,44310,0,Expense Account,Expense,
Æ Supplies,ÆTESIS,44313,44310,0,Expense Account,Expense,
Æ Other,ÆTESIS,44314,44310,0,Expense Account,Expense,
Other Investments,Investments,44320,44300,0,Expense Account,Expense,
Entertainment and Recreation,Expenses,45000,40000,1,,Expense,
Dining Out,Entertainment and Recreation,45100,45000,1,,Expense,
Restaurants,Dining Out,45110,45100,0,Direct Expense,Expense,
Takeout,Dining Out,45120,45100,0,Direct Expense,Expense,
Delivery,Dining Out,45130,45100,0,Direct Expense,Expense,
Event Tickets,Entertainment and Recreation,45200,45000,0,Direct Expense,Expense,
Hobbies,Entertainment and Recreation,45300,45000,0,Direct Expense,Expense,
Games,Entertainment and Recreation,45400,45000,1,,Expense,
Digital Games,Games,45410,45400,0,Direct Expense,Expense,
Board Games,Games,45420,45400,0,Direct Expense,Expense,
Going Out,Entertainment and Recreation,45500,45000,1,,Expense,
At the bar,Going Out,45510,45500,0,Direct Expense,Expense,
Parties,Going Out,45520,45500,0,Direct Expense,Expense,
Smoking,Going Out,45530,45500,0,Direct Expense,Expense,
Other Going Out Expenses,Going Out,45540,45500,0,Direct Expense,Expense,
Entertainment Subscriptions,Entertainment and Recreation,45600,45000,0,Direct Expense,Expense,
Education And Personal Development,Expenses,46000,40000,1,,Expense,
Ed. Fees,Education And Personal Development,46100,46000,0,Direct Expense,Expense,
Books,Education And Personal Development,46200,46000,0,Direct Expense,Expense,
Personal Care,Expenses,47000,40000,1,,Expense,
Clothing and Apparel,Personal Care,47100,47000,1,,Expense,
Clothing,Clothing and Apparel,47110,47100,1,,Expense,
Everyday Clothing,Clothing,47111,47110,0,Direct Expense,Expense,
Special Occasion Clothing,Clothing,47112,47110,0,Direct Expense,Expense,
Jewelry,Clothing and Apparel,47120,47100,1,,Expense,
Everyday Jewelry,Jewelry,47121,47120,0,Direct Expense,Expense,
Special Occasion Jewelry,Jewelry,47122,47120,0,Direct Expense,Expense,
Haircuts and Grooming,Personal Care,47200,47000,0,Direct Expense,Expense,
Gym Membership,Personal Care,47300,47000,0,Direct Expense,Expense,
Spa / Massage,Personal Care,47400,47000,0,Direct Expense,Expense,
Equipment,Expenses,48000,40000,1,,Expense,
Electronic Equipment,Equipment,48100,48000,0,Direct Expense,Expense,
Office Equipment,Equipment,48200,48000,0,Direct Expense,Expense,
Tools,Equipment,48300,48000,0,Direct Expense,Expense,
Software,Equipment,48400,48000,0,Direct Expense,Expense,
Art / Collectibles,Equipment,48500,48000,0,Direct Expense,Expense,
Stock Expenses,Expenses,49000,40000,1,,Expense,
Cost Of Goods Sold,Stock Expenses,49100,49000,0,Indirect Expense,Expense,
Expenses Included In Asset Valuation,Stock Expenses,49200,49000,0,Indirect Expense,Expense,
Expenses Included In Valuation,Stock Expenses,49300,49000,0,Indirect Expense,Expense,
Stock Adjustment,Stock Expenses,49400,49000,0,Indirect Expense,Expense,
Miscellaneous Expenses,Expenses,4A000,40000,1,,Expense,
Gifts and Donations,Miscellaneous Expenses,4A100,4A000,1,,Expense,
Gifts,Gifts and Donations,4A110,4A100,0,Direct Expense,Expense,
Donations,Gifts and Donations,4A120,4A100,0,Direct Expense,Expense,
Depreciation,Miscellaneous Expenses,4A200,4A000,0,Indirect Expense,Expense,
Postal Expenses,Miscellaneous Expenses,4A300,4A000,0,Indirect Expense,Expense,
Legal Expenses,Miscellaneous Expenses,4A400,4A000,0,Indirect Expense,Expense,
Round Off,Miscellaneous Expenses,4A500,4A000,0,Indirect Expense,Expense,
Write Off,Miscellaneous Expenses,4A600,4A000,0,Indirect Expense,Expense,
Exchange Gain/Loss,Miscellaneous Expenses,4A700,4A000,0,Indirect Expense,Expense,
Gain/Loss on Asset Disposal,Miscellaneous Expenses,4A800,4A000,0,Indirect Expense,Expense,
Other Expenses,Miscellaneous Expenses,4A900,4A000,0,Direct Expense,Expense,
Equity,,50000,,1,,Equity,
Owner’s Equity,Equity,51000,50000,1,,Equity,
Capital Stock,Owner’s Equity,51100,51000,0,Equity,Equity,
Dividends Paid,Owner’s Equity,51200,51000,0,Equity,Equity,
Opening Balance Equity,Owner’s Equity,51300,51000,0,Equity,Equity,
Retained Earnings,Owner’s Equity,51400,51000,0,Equity,Equity,
Net Worth,Equity,52000,50000,0,,Equity,
